country,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,area,PCA_component1,PCA_component2
Romania,45.005,29.524,325.4,1,1,2020-01-25,00:10,A,100,6.0NRT,273.2,29.3,N,1.0,1.853661771976805,3.876784904905284
Romania,45.003,29.537,323.5,1,1,2020-01-25,00:10,A,100,6.0NRT,274.1,27.1,N,1.0,1.8087688002560502,3.8534712621328064
Romania,45.079,29.527,327.6,1,1,2020-01-25,00:10,A,100,6.0NRT,273,31.6,N,1.0,1.8999081715783752,3.9566497716623696
Romania,45.077,29.54,324.7,1,1,2020-01-25,00:10,A,100,6.0NRT,273.3,27.9,N,1.0,1.838313638345652,3.8446898657385966
North Macedonia,41.444,21.945,319.5,1.5,1.2,2020-01-25,00:10,A,99,6.0NRT,268.9,42.6,N,1.7999999999999998,2.8963180371362323,3.1206206668312486
Bulgaria,43.246,25.338,315.3,1.4,1.2,2020-01-25,09:35,T,76,6.0NRT,286.5,23.6,D,1.68,2.559092336736335,3.7967209838026674
Romania,46.19,26.651,306.2,1.4,1.2,2020-01-25,09:35,T,63,6.0NRT,281.3,15.4,D,1.68,2.5367860178479775,2.920138172511068
Ukraine,46.12,29.109,300.8,1.8,1.3,2020-01-25,09:35,T,42,6.0NRT,281.9,15.8,D,2.3400000000000003,3.2907887535382887,2.459350632171957
Czechia,49.673,18.659,300.1,1.2,1.1,2020-01-25,09:35,T,27,6.0NRT,272.8,10.8,D,1.32,1.8962178860663395,2.144313060803964
Ukraine,49.103,23.625,302.4,1,1,2020-01-25,09:35,T,52,6.0NRT,276.5,9.2,D,1.0,1.387674084491414,2.725450848259748
Ukraine,48.265,30.131,306.2,1.8,1.3,2020-01-25,09:35,T,63,6.0NRT,278.1,23.7,D,2.3400000000000003,3.5144491300499627,2.35933820706848
Ukraine,49.522,23.687,306.9,1,1,2020-01-25,09:35,T,64,6.0NRT,276.2,11.9,D,1.0,1.4799134877422209,2.8696031563627558
Ukraine,49.363,26.653,308.3,1.2,1.1,2020-01-25,09:35,T,67,6.0NRT,275.5,16.2,D,1.32,2.138971320079483,2.689092650685355
North Macedonia,41.594,22.902,312.6,1.1,1.1,2020-01-25,09:35,T,73,6.0NRT,281.8,16.1,D,1.2100000000000002,1.75371883567204,3.660475460537914
North Macedonia,41.597,22.889,318.3,1.1,1.1,2020-01-25,09:35,T,78,6.0NRT,283.7,22,D,1.2100000000000002,1.8479592805429859,4.041401213169909
North Macedonia,41.606,22.891,317.4,1.1,1.1,2020-01-25,09:35,T,70,6.0NRT,284.1,20.2,D,1.2100000000000002,1.8233579423205601,4.022450441801035
Bulgaria,43.642,26.331,304.6,1.5,1.2,2020-01-25,09:35,T,59,6.0NRT,282.2,14.8,D,1.7999999999999998,2.5399673800233327,2.986690798671382
Romania,44.361,22.586,312.2,1,1,2020-01-25,09:35,T,72,6.0NRT,284.8,13.9,D,1.0,1.3309938494264812,3.893813294159907
Romania,44.465,23.421,301.9,1.1,1,2020-01-25,09:35,T,43,6.0NRT,282.4,8.1,D,1.1,1.3061616509377236,3.2639177733316758
Spain,43.542,-5.824,304,1,1,2020-01-25,11:15,T,50,6.0NRT,284.2,8.1,D,1.0,0.6971789641830168,3.4822365393903527
Spain,43.543,-5.837,302,1,1,2020-01-25,11:15,T,47,6.0NRT,285.4,6.8,D,1.0,0.6525688966666077,3.4824702563595102
Turkey,38.771,27.472,301.2,1,1,2020-01-25,11:15,A,42,6.0NRT,290.5,4.1,D,1.0,0.9966787773496264,4.028461471644181
Turkey,38.692,27.496,302.7,1,1,2020-01-25,11:15,A,53,6.0NRT,289.1,4.6,D,1.0,1.0298534576637242,3.99385230515587
Turkey,38.683,27.498,300.9,1,1,2020-01-25,11:15,A,41,6.0NRT,288.7,3.6,D,1.0,1.00249476960012,3.894096317016631
Portugal,41.443,-7.668,302.3,1.1,1.1,2020-01-25,11:15,T,52,6.0NRT,281.4,8.9,D,1.2100000000000002,1.0652188131163784,3.1444371107245574
Cyprus,34.882,32.454,301.1,1.3,1.1,2020-01-25,11:15,A,45,6.0NRT,286.6,7.5,D,1.4300000000000002,1.6968970326665997,3.6887101186607016
Romania,46.154,27.015,312.4,1.1,1,2020-01-25,11:20,A,73,6.0NRT,283.9,14.7,D,1.1,1.5752760371549202,3.6871921727547283
Ukraine,46.481,30.091,372.5,1.4,1.2,2020-01-25,11:20,A,0,6.0NRT,290,203.8,D,1.68,4.395973474832799,7.2779119178892
Ukraine,46.483,30.108,406,1.4,1.2,2020-01-25,11:20,A,75,6.0NRT,293.7,473.3,D,1.68,6.177360110500571,10.757077698274506
Ukraine,46.487,30.115,326.9,1.4,1.2,2020-01-25,11:20,A,74,6.0NRT,280.1,41.6,D,1.68,3.0276454113945315,3.734942077974673
Ukraine,46.475,30.099,439.6,1.4,1.2,2020-01-25,11:20,A,75,6.0NRT,302.6,945.5,D,1.68,8.923665808896555,16.110407699395083
Ukraine,46.477,30.117,439.5,1.4,1.2,2020-01-25,11:20,A,94,6.0NRT,295.9,947.4,D,1.68,8.98637189421862,15.660562025811952
Ukraine,46.465,30.101,301.9,1.4,1.2,2020-01-25,11:20,A,37,6.0NRT,281.2,10.4,D,1.68,2.509971113747362,2.672936871935039
Ukraine,46.466,30.119,304.4,1.4,1.2,2020-01-25,11:20,A,59,6.0NRT,280.7,13,D,1.68,2.562557228795524,2.7485308218446267
Romania,44.96,22.184,304.2,1.1,1.1,2020-01-25,11:20,A,58,6.0NRT,280.6,11,D,1.2100000000000002,1.696624632408278,3.047847564388773
Ukraine,45.702,28.633,303.2,1.2,1.1,2020-01-25,11:20,A,55,6.0NRT,285.8,8.4,D,1.32,1.8672745352913023,3.278575294149758
Ukraine,45.703,28.648,302.8,1.2,1.1,2020-01-25,11:20,A,53,6.0NRT,284.2,7.9,D,1.32,1.8723930687133086,3.1503935791093745
Ukraine,45.581,28.658,303,1.2,1.1,2020-01-25,11:20,A,47,6.0NRT,284.4,7.8,D,1.32,1.86981279994658,3.176022994643058
Romania,45.309,26.744,307,1,1,2020-01-25,11:20,A,65,6.0NRT,283.9,10,D,1.0,1.3340351673976194,3.5383108008264745
Romania,45.415,29.082,300.4,1.2,1.1,2020-01-25,11:20,A,37,6.0NRT,285.7,6.6,D,1.32,1.8188458840780946,3.1699506114946665
Romania,44.495,22.832,316.9,1.1,1,2020-01-25,11:20,A,77,6.0NRT,286.1,18.5,D,1.1,1.5244795821628894,4.098560084909222
Romania,45.056,26.991,300.2,1,1,2020-01-25,11:20,A,31,6.0NRT,286.9,5.3,D,1.0,1.1872448402570006,3.4744168717077404
Romania,44.783,25.139,311.4,1,1,2020-01-25,11:20,A,71,6.0NRT,285.8,12.1,D,1.0,1.3500429932743325,3.8654616432911544
Romania,44.92,26.447,303.9,1,1,2020-01-25,11:20,A,57,6.0NRT,287.7,6.6,D,1.0,1.2267074696861657,3.6785600456159
Romania,44.461,23.422,300.2,1.1,1,2020-01-25,11:20,A,31,6.0NRT,286.7,5.1,D,1.1,1.2259755740964764,3.4368882621929697
Romania,44.714,25.366,303.1,1,1,2020-01-25,11:20,A,55,6.0NRT,285.6,6.7,D,1.0,1.2094230103025212,3.514008846544539
Bulgaria,44.183,22.64,304.5,1.1,1.1,2020-01-25,11:20,A,59,6.0NRT,285.5,8.5,D,1.2100000000000002,1.6342047511158067,3.4114454763756235
Romania,45.076,29.516,305.5,1.3,1.1,2020-01-25,11:20,A,0,6.0NRT,279.2,14,D,1.4300000000000002,2.0911580098803433,2.933890821139502
Romania,44.522,25.51,304.8,1,1,2020-01-25,11:20,A,60,6.0NRT,285.7,7.8,D,1.0,1.2350051027552795,3.5992886814162217
Romania,44.931,29.494,303.3,1.2,1.1,2020-01-25,11:20,A,55,6.0NRT,279.1,11.6,D,1.32,1.931198201211398,2.880626518205416
Romania,44.744,27.953,301,1.1,1,2020-01-25,11:20,A,43,6.0NRT,284.4,7.1,D,1.1,1.3480039473558678,3.31496521289696
Romania,43.843,22.892,309.8,1.1,1.1,2020-01-25,11:20,A,0,6.0NRT,284,12.9,D,1.2100000000000002,1.7375606535781534,3.548478131461777
Romania,43.817,23.464,302.1,1.1,1,2020-01-25,11:20,A,50,6.0NRT,285.9,6.6,D,1.1,1.2492167932283205,3.4903856314848016
Romania,44.305,26.81,302.4,1,1,2020-01-25,11:20,A,45,6.0NRT,282.4,7.1,D,1.0,1.2395419082622081,3.2912946642320438
Romania,43.831,23.785,307,1.1,1,2020-01-25,11:20,A,56,6.0NRT,285.1,9.6,D,1.1,1.3454356309046998,3.635037125245171
Romania,43.833,23.798,304.1,1.1,1,2020-01-25,11:20,A,50,6.0NRT,284.5,7.8,D,1.1,1.3006860522097585,3.475245622417558
Romania,43.932,24.722,307.2,1,1,2020-01-25,11:20,A,65,6.0NRT,278.3,10.6,D,1.0,1.3132273724571633,3.223902519177243
Romania,43.934,24.734,302.2,1,1,2020-01-25,11:20,A,51,6.0NRT,281.8,7.3,D,1.0,1.1981133061433236,3.2585348326678383
Romania,43.713,25.227,313.9,1,1,2020-01-25,11:20,A,70,6.0NRT,281.3,15.2,D,1.0,1.4084129215352696,3.7172514502926277
Bulgaria,43.411,23.542,323.6,1.1,1,2020-01-25,11:20,A,82,6.0NRT,289.1,24.1,D,1.1,1.6035272255242305,4.637719929920033
Bulgaria,43.413,23.555,314.5,1.1,1,2020-01-25,11:20,A,75,6.0NRT,288.9,14.4,D,1.1,1.4287676784974692,4.2218415724262215
Serbia,42.399,21.713,304.5,1.3,1.1,2020-01-25,11:20,A,59,6.0NRT,281.3,12.3,D,1.4300000000000002,1.8481817151467803,3.139240233243754
Serbia,42.402,21.728,309.6,1.3,1.1,2020-01-25,11:20,A,69,6.0NRT,280.4,17.2,D,1.4300000000000002,1.952150130691862,3.29861670951765
Bulgaria,42.713,24.17,305.2,1.1,1,2020-01-25,11:20,A,61,6.0NRT,285.2,8.6,D,1.1,1.2889333089244284,3.6189227657409684
Bulgaria,42.947,26.257,312.9,1,1,2020-01-25,11:20,A,73,6.0NRT,287.9,13.4,D,1.0,1.3270308623130078,4.155886488430893
Bulgaria,42.596,24.896,300.9,1,1,2020-01-25,11:20,A,42,6.0NRT,286.6,5.1,D,1.0,1.0947286249482155,3.5839681658431126
Bulgaria,42.439,24.666,308.8,1,1,2020-01-25,11:20,A,64,6.0NRT,283.9,10.3,D,1.0,1.2457860433605654,3.7301491786635594
North Macedonia,41.443,21.938,316.1,1.3,1.1,2020-01-25,11:20,A,76,6.0NRT,283.1,25.1,D,1.4300000000000002,2.037577822823471,3.821058874267029
North Macedonia,41.593,22.887,346.9,1.2,1.1,2020-01-25,11:20,A,95,6.0NRT,288.8,74.8,D,1.32,2.5794425712801337,5.738629309416974
North Macedonia,41.596,22.901,314.6,1.2,1.1,2020-01-25,11:20,A,75,6.0NRT,283.8,18.3,D,1.32,1.8837140201819595,3.8031563907382315
North Macedonia,41.586,22.904,303.5,1.2,1.1,2020-01-25,11:20,A,26,6.0NRT,282.6,8.1,D,1.32,1.6858387490906055,3.24290434159531
Bulgaria,41.934,26.16,300.3,1,1,2020-01-25,11:20,A,33,6.0NRT,288.6,4.1,D,1.0,1.0670400910178222,3.7226706608668847
Albania,40.772,20.746,310.3,1.6,1.2,2020-01-25,11:20,A,70,6.0NRT,287.1,20.8,D,1.92,2.5449692135146136,3.611887242614433
Albania,40.776,20.764,318.6,1.6,1.2,2020-01-25,11:20,A,79,6.0NRT,285.9,33.2,D,1.92,2.733868309923485,3.922513656366275
Greece,41.547,26.549,302.9,1,1,2020-01-25,11:20,A,54,6.0NRT,287.8,5.4,D,1.0,1.1121174605260655,3.7890613258207484
Greece,41.549,26.56,302,1,1,2020-01-25,11:20,A,50,6.0NRT,287.8,5,D,1.0,1.0976601397979575,3.7533947320032346
Greece,41.055,25.069,300.3,1,1,2020-01-25,11:20,A,23,6.0NRT,287.3,3.2,D,1.0,1.0304065615306275,3.6642637577197155
Greece,40.647,22.7,307.6,1.3,1.1,2020-01-25,11:20,A,66,6.0NRT,287.3,11.9,D,1.4300000000000002,1.8079253502957908,3.739057607788747
Greece,40.65,22.714,310.3,1.3,1.1,2020-01-25,11:20,A,70,6.0NRT,286.8,14.3,D,1.4300000000000002,1.862333559048227,3.820311968616752
Greece,41.054,25.183,301.2,1,1,2020-01-25,11:20,A,43,6.0NRT,288.7,4.3,D,1.0,1.0390598881846107,3.8014287592371243
Greece,40.614,22.633,308,1.3,1.1,2020-01-25,11:20,A,66,6.0NRT,287.7,12,D,1.4300000000000002,1.808796497930856,3.783163253195597
Turkey,41.191,26.391,303.2,1,1,2020-01-25,11:20,A,55,6.0NRT,286.5,6.2,D,1.0,1.118216276223785,3.732114174420545
Greece,40.553,22.637,307.2,1.3,1.1,2020-01-25,11:20,A,65,6.0NRT,287,11,D,1.4300000000000002,1.7965530225341484,3.701316989047762
Greece,40.554,22.642,301.4,1.3,1.1,2020-01-25,11:20,A,40,6.0NRT,286.6,6.4,D,1.4300000000000002,1.6951728815399798,3.42934634793543
Bulgaria,43.247,25.34,300.1,1,1,2020-01-25,11:20,A,24,6.0NRT,287.4,4,D,1.0,1.0971565040641553,3.573498289095576
Algeria,35.802,-0.246,320.5,1.8,1.3,2020-01-25,11:20,T,61,6.0NRT,289.4,42,D,2.3400000000000003,2.859762425269463,4.269840607789065
Algeria,35.806,-0.265,318.1,1.8,1.3,2020-01-25,11:20,T,59,6.0NRT,289,37.1,D,2.3400000000000003,2.804592597007371,4.118645910250172
