Country,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,PCA_component1,PCA_component2
Ukraine,49.345,24.238,312,1.5,1.2,2020-01-22,0905,T,68,6.0NRT,270,27,D,5.489576189663901,3.70222199591898
Ukraine,49.343,24.258,306.8,1.5,1.2,2020-01-22,0905,T,64,6.0NRT,271.7,20.6,D,5.4975152407704435,3.539236871417365
Ukraine,48.978,24.276,308.5,1.4,1.2,2020-01-22,0905,T,67,6.0NRT,275.9,21.5,D,5.906006363978563,3.4854109538197298
Ukraine,48.892,24.774,314.8,1.4,1.2,2020-01-22,0905,T,75,6.0NRT,275.2,27,D,5.979367144503879,3.6790096508786716
Romania,47.472,27.344,302.6,1.1,1,2020-01-22,0905,T,53,6.0NRT,279.7,8.9,D,6.948172292032289,2.8661859377018133
Moldova Republic of,46.495,29.961,302.7,1,1,2020-01-22,0905,T,53,6.0NRT,280.9,7.9,D,7.154347297963694,2.8382300920028816
Romania,45.19,29.147,302.6,1,1,2020-01-22,0905,T,0,6.0NRT,277,8,D,6.966112997011084,2.7090616189902437
Bulgaria,43.222,25.311,303.8,1.1,1.1,2020-01-22,0905,T,57,6.0NRT,279.9,10,D,6.886897236945882,2.5712844548885743
Greece,39.81,21.098,306.6,1.6,1.2,2020-01-22,0905,T,55,6.0NRT,281.8,18.2,D,6.465492226962188,2.5379054818633437
Greece,39.81,21.091,301.5,1.6,1.2,2020-01-22,0905,T,36,6.0NRT,281.9,12.9,D,6.37623676900878,2.390483678444565
Turkey,38.744,26.948,303.1,1,1,2020-01-22,0905,T,55,6.0NRT,284.9,6.7,D,7.7649078940406495,2.0104926036070765
Turkey,38.32,28.861,300.6,1.1,1,2020-01-22,0905,T,39,6.0NRT,278.7,7.8,D,7.2499764348762135,2.0780467109015714
Romania,44.829,29.46,361.5,1.2,1.1,2020-01-22,1050,A,75,6.0NRT,284,117.4,D,8.12400386842756,4.692182974670296
Romania,44.841,29.471,379.5,1.2,1.1,2020-01-22,1050,A,100,6.0NRT,282.5,195,D,8.507959453252333,5.494131785662278
Romania,44.839,29.456,434.5,1.2,1.1,2020-01-22,1050,A,100,6.0NRT,304.5,677.8,D,11.962083457175972,8.935364177269562
Romania,44.836,29.442,356.6,1.2,1.1,2020-01-22,1050,A,93,6.0NRT,288.6,97.5,D,8.287875570190687,4.4562521054264055
Romania,44.851,29.468,373.5,1.2,1.1,2020-01-22,1050,A,100,6.0NRT,281.5,166.1,D,8.276897023693245,5.222372827978672
Romania,44.848,29.453,419.9,1.2,1.1,2020-01-22,1050,A,100,6.0NRT,297.2,504.2,D,10.842533892799432,7.818603560949058
Romania,44.846,29.439,384.2,1.2,1.1,2020-01-22,1050,A,100,6.0NRT,288.9,219.1,D,9.048249996333933,5.681877479279075
Romania,44.843,29.424,351.8,1.2,1.1,2020-01-22,1050,A,97,6.0NRT,283.3,87.5,D,7.8493959621502105,4.324631904978998
Romania,44.84,29.409,310,1.2,1.1,2020-01-22,1050,A,69,6.0NRT,280.1,15.5,D,6.793968091684139,3.007295569579799
Romania,43.988,24.134,311.9,2.3,1.5,2020-01-22,1050,A,54,6.0NRT,269,48.7,D,4.033341137194794,3.9810058943616538
Romania,43.986,24.127,311.3,2.3,1.5,2020-01-22,1050,A,54,6.0NRT,269.9,43.9,D,4.069200777236976,3.9387431634482546
Romania,45.179,29.154,302.4,1.2,1.1,2020-01-22,1050,A,39,6.0NRT,280.1,10,D,6.643090359991623,2.8191093855624496
Romania,45.276,29.476,312.8,1.2,1.1,2020-01-22,1050,A,73,6.0NRT,282.9,16.2,D,6.999178443642837,3.1028711870515493
